2021-05-07 01:59:24.006 [main] INFO  ir.sharif.aminra.Main - program started.
2021-05-07 01:59:35.353 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json closed!
2021-05-07 01:59:35.354 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened!
2021-05-07 01:59:35.355 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed!
2021-05-07 01:59:35.355 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 14.json opened!
2021-05-07 01:59:35.356 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 14.json closed!
2021-05-07 01:59:35.431 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:35.434 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:35.435 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 14.json opened.
2021-05-07 01:59:35.438 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 14.json closed.
2021-05-07 01:59:35.458 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - read the image from file 1.png
2021-05-07 01:59:37.805 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:37.811 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:37.812 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 7.json opened.
2021-05-07 01:59:37.817 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 7.json closed.
2021-05-07 01:59:37.818 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:37.824 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:37.825 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 6.json opened.
2021-05-07 01:59:37.826 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 6.json closed.
2021-05-07 01:59:37.827 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:37.833 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:37.834 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 11.json opened.
2021-05-07 01:59:37.835 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 11.json closed.
2021-05-07 01:59:37.836 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json opened.
2021-05-07 01:59:37.841 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json closed.
2021-05-07 01:59:37.842 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 8.json opened.
2021-05-07 01:59:37.843 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 8.json closed.
2021-05-07 01:59:37.843 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:37.847 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:37.848 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 5.json opened.
2021-05-07 01:59:37.848 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 5.json closed.
2021-05-07 01:59:37.849 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json opened.
2021-05-07 01:59:37.852 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 3.json closed.
2021-05-07 01:59:37.852 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 12.json opened.
2021-05-07 01:59:37.853 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.TweetDB - file 12.json closed.
2021-05-07 01:59:37.853 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json opened.
2021-05-07 01:59:37.856 [JavaFX Application Thread] INFO  ir.sharif.aminra.db.UserDB - file 10.json closed.
